state,date,ML,Low_90,High_90,Low_50,High_50
Romania_CODE,2020-08-25,1.1400000000000001,0.81,1.41,0.97,1.22
Romania_CODE,2020-08-26,1.3900000000000001,1.09,1.67,1.25,1.49
Romania_CODE,2020-08-27,1.32,1.01,1.58,1.16,1.4000000000000001
Romania_CODE,2020-08-28,1.04,0.73,1.3,0.87,1.11
Romania_CODE,2020-08-29,0.74,0.42,1.0,0.58,0.8200000000000001
Romania_CODE,2020-08-30,0.62,0.31,0.9,0.45,0.7000000000000001
Romania_CODE,2020-08-31,0.74,0.43,1.03,0.58,0.8300000000000001
Romania_CODE,2020-09-01,1.07,0.75,1.35,0.91,1.16
Romania_CODE,2020-09-02,1.29,0.96,1.55,1.1500000000000001,1.3900000000000001
Romania_CODE,2020-09-03,1.35,1.06,1.6300000000000001,1.19,1.43
Romania_CODE,2020-09-04,1.1400000000000001,0.8200000000000001,1.3900000000000001,0.97,1.21
Romania_CODE,2020-09-05,0.89,0.59,1.16,0.73,0.97
Romania_CODE,2020-09-06,0.77,0.47000000000000003,1.05,0.62,0.86
Romania_CODE,2020-09-07,0.86,0.54,1.1300000000000001,0.68,0.93
Romania_CODE,2020-09-08,1.08,0.75,1.34,0.9400000000000001,1.18
Romania_CODE,2020-09-09,1.24,0.92,1.5,1.08,1.32
Romania_CODE,2020-09-10,1.23,0.92,1.49,1.06,1.3
Romania_CODE,2020-09-11,1.01,0.6900000000000001,1.26,0.84,1.08
Romania_CODE,2020-09-12,0.77,0.45,1.03,0.61,0.85
Romania_CODE,2020-09-13,0.8,0.47000000000000003,1.06,0.66,0.9
Romania_CODE,2020-09-14,1.03,0.7000000000000001,1.29,0.88,1.12
Romania_CODE,2020-09-15,1.34,1.04,1.61,1.18,1.42
Romania_CODE,2020-09-16,1.49,1.2,1.75,1.34,1.57
Romania_CODE,2020-09-17,1.3900000000000001,1.09,1.6300000000000001,1.26,1.48
Romania_CODE,2020-09-18,1.05,0.75,1.29,0.92,1.1400000000000001
Romania_CODE,2020-09-19,0.66,0.37,0.92,0.51,0.74
Romania_CODE,2020-09-20,0.59,0.28,0.85,0.42,0.66
Romania_CODE,2020-09-21,0.8300000000000001,0.54,1.11,0.67,0.91
Romania_CODE,2020-09-22,1.23,0.91,1.48,1.1,1.33
Romania_CODE,2020-09-23,1.48,1.17,1.72,1.32,1.55
Romania_CODE,2020-09-24,1.45,1.16,1.69,1.3,1.52
Romania_CODE,2020-09-25,1.25,0.97,1.49,1.09,1.31
Romania_CODE,2020-09-26,1.0,0.73,1.25,0.85,1.07
Romania_CODE,2020-09-27,0.97,0.68,1.21,0.8300000000000001,1.05
