date,state,cases
2020-04-13,TR,65
2020-04-13,TM,300
2020-04-13,TL,16
2020-04-13,VS,47
2020-04-13,VL,13
2020-04-13,VN,134
2020-04-13,B,774
2020-04-14,AB,118
2020-04-14,AR,280
2020-04-14,AG,59
2020-04-14,BC,76
2020-04-14,BH,190
2020-04-14,BN,89
2020-04-14,BT,172
2020-04-14,BV,263
2020-04-14,BR,16
2020-04-14,BZ,14
2020-04-14,CS,57
2020-04-14,CL,39
2020-04-14,CJ,198
2020-04-14,CT,158
2020-04-14,CV,124
2020-04-14,DB,31
2020-04-14,DJ,44
2020-04-14,GL,204
2020-04-14,GR,74
2020-04-14,GJ,10
2020-04-14,HR,7
2020-04-14,HD,320
2020-04-14,IL,108
2020-04-14,IS,131
2020-04-14,IF,132
2020-04-14,MM,51
2020-04-14,MH,22
2020-04-14,MS,229
2020-04-14,NT,304
2020-04-14,OT,13
2020-04-14,PH,39
2020-04-14,SM,37
2020-04-14,SJ,18
2020-04-14,SB,116
2020-04-14,SV,1733
2020-04-14,TR,70
2020-04-14,TM,318
2020-04-14,TL,18
2020-04-14,VS,49
2020-04-14,VL,15
2020-04-14,VN,157
2020-04-14,B,789
2020-04-15,AB,133
2020-04-15,AR,312
2020-04-15,AG,62
2020-04-15,BC,81
2020-04-15,BH,198
2020-04-15,BN,93
2020-04-15,BT,231
2020-04-15,BV,270
2020-04-15,BR,16
2020-04-15,BZ,14
2020-04-15,CS,57
2020-04-15,CL,41
2020-04-15,CJ,203
2020-04-15,CT,163
2020-04-15,CV,124
2020-04-15,DB,31
2020-04-15,DJ,55
2020-04-15,GL,229
2020-04-15,GR,75
2020-04-15,GJ,10
2020-04-15,HR,7
2020-04-15,HD,320
2020-04-15,IL,110
2020-04-15,IS,131
2020-04-15,IF,135
2020-04-15,MM,55
2020-04-15,MH,22
2020-04-15,MS,243
2020-04-15,NT,344
2020-04-15,OT,13
2020-04-15,PH,39
2020-04-15,SM,39
2020-04-15,SJ,18
2020-04-15,SB,120
2020-04-15,SV,1763
2020-04-15,TR,74
2020-04-15,TM,322
2020-04-15,TL,23
2020-04-15,VS,52
2020-04-15,VL,15
2020-04-15,VN,160
2020-04-15,B,824
2020-04-16,AB,141
2020-04-16,AR,339
2020-04-16,AG,67
2020-04-16,BC,94
2020-04-16,BH,219
2020-04-16,BN,93
2020-04-16,BT,290
2020-04-16,BV,286
2020-04-16,BR,16
2020-04-16,BZ,14
2020-04-16,CS,58
2020-04-16,CL,41
2020-04-16,CJ,215
2020-04-16,CT,168
2020-04-16,CV,124
2020-04-16,DB,31
2020-04-16,DJ,55
2020-04-16,GL,240
2020-04-16,GR,80
2020-04-16,GJ,10
2020-04-16,HR,9
2020-04-16,HD,333
2020-04-16,IL,114
2020-04-16,IS,131
2020-04-16,IF,154
2020-04-16,MM,55
2020-04-16,MH,28
2020-04-16,MS,250
2020-04-16,NT,348
2020-04-16,OT,13
2020-04-16,PH,48
2020-04-16,SM,41
2020-04-16,SJ,19
2020-04-16,SB,125
2020-04-16,SV,1910
2020-04-16,TR,76
2020-04-16,TM,341
2020-04-16,TL,24
2020-04-16,VS,54
2020-04-16,VL,15
2020-04-16,VN,174
2020-04-16,B,866
2020-04-17,AB,141
2020-04-17,AR,360
2020-04-17,AG,73
2020-04-17,BC,107
2020-04-17,BH,222
2020-04-17,BN,94
2020-04-17,BT,310
2020-04-17,BV,299
2020-04-17,BR,16
2020-04-17,BZ,14
2020-04-17,CS,58
2020-04-17,CL,41
2020-04-17,CJ,224
2020-04-17,CT,172
2020-04-17,CV,124
2020-04-17,DB,73
2020-04-17,DJ,57
2020-04-17,GL,260
2020-04-17,GR,83
2020-04-17,GJ,12
2020-04-17,HR,11
2020-04-17,HD,372
